ride_id,rider_id,driver_id,request_time,pickup_time,dropoff_time,pickup_city,dropoff_city,distance_miles,status,estimated_fare,amount,method,paid_date,driver_static_rating
27,1387,1348,7/23/2023 6:53,7/23/2023 7:03,7/23/2023 7:51,Montreal,San Francisco,2.230728125,completed,11.38,11.38,Credit Card,7/23/2023 8:19,5
28,9171,694,6/4/2024 12:29,6/4/2024 12:33,6/4/2024 12:46,San Francisco,Vancouver,7.605602297,completed,36.16,36.16,cash,6/4/2024 13:33,4.8
29,3059,1821,7/22/2022 23:47,7/22/2022 23:58,7/23/2022 0:06,Los Angeles,Calgary,0.702151192,completed,8.52,8.52,cash,7/23/2022 0:35,4.4
30,4023,534,11/11/2021 6:32,11/11/2021 6:46,11/11/2021 6:53,Boston,Toronto,12.63250774,cancelled,57.24,0,Credit Card,11/11/2021 7:17,3.9
31,5994,1738,11/5/2023 10:02,11/5/2023 10:11,11/5/2023 10:47,Montreal,New York,17.75261909,completed,70.9,70.9,Credit Card,11/5/2023 11:22,4
32,4376,758,9/3/2024 12:06,9/3/2024 12:14,9/3/2024 13:08,Montreal,Ottawa,2.522773311,completed,14.81,14.81,paypal,9/3/2024 13:24,4.6
33,8182,678,5/21/2024 15:29,5/21/2024 15:37,5/21/2024 16:07,Ottawa,San Francisco,1.491294568,completed,15.35,15.35,cash,5/21/2024 17:07,5
34,5497,1940,11/6/2021 16:59,11/6/2021 17:05,11/6/2021 17:25,Montreal,Los Angeles,9.637491145,completed,40.64,40.64,voucher,11/6/2021 17:56,4.5
35,4438,805,8/24/2022 15:42,8/24/2022 15:57,8/24/2022 16:48,Ottawa,Calgary,4.386891521,completed,18.2,18.2,voucher,8/24/2022 17:06,4.3
36,1042,883,11/21/2021 1:58,11/21/2021 2:13,11/21/2021 2:35,Chicago,Toronto,1.565859296,completed,7.55,7.55,voucher,11/21/2021 3:00,4.3
39,5294,1611,12/31/2024 3:55,12/31/2024 4:01,12/31/2024 4:42,Montreal,Montreal,4.511166068,completed,22.27,22.27,Credit Card,12/31/2024 4:46,4.4
40,7319,373,6/25/2021 7:02,6/25/2021 7:16,6/25/2021 7:36,New York,Vancouver,5.940323362,completed,28.67,28.67,paypal,6/25/2021 8:29,5
41,4525,280,1/8/2022 4:50,1/8/2022 4:56,1/8/2022 5:50,Ottawa,Toronto,13.93117676,completed,60.72,60.72,voucher,1/8/2022 6:02,4.3
42,6305,251,12/20/2024 13:25,12/20/2024 13:39,12/20/2024 14:02,New York,San Francisco,7.742304299,completed,29.14,29.14,voucher,12/20/2024 14:29,3.9
43,9561,401,1/20/2022 23:06,1/20/2022 23:19,1/20/2022 23:34,Montreal,Toronto,16.6652168,completed,67.57,67.57,Credit Card,1/21/2022 0:27,3.7
44,5190,1815,4/25/2022 22:21,4/25/2022 22:25,4/25/2022 23:15,New York,Vancouver,1.665278934,completed,9.44,9.44,paypal,4/25/2022 23:38,4.4
45,3605,1348,4/11/2024 15:36,4/11/2024 15:44,4/11/2024 16:03,Toronto,New York,5.443225173,cancelled,17.12,0,Credit Card,4/11/2024 16:27,5
46,1999,1016,12/31/2024 11:12,12/31/2024 11:21,12/31/2024 12:18,Los Angeles,Chicago,7.450259112,completed,25.26,25.26,paypal,12/31/2024 13:17,4.6
47,1971,163,7/27/2022 5:28,7/27/2022 5:40,7/27/2022 6:20,Vancouver,Toronto,2.864528316,completed,13.92,13.92,paypal,7/27/2022 6:44,5
48,9126,576,5/10/2022 12:24,5/10/2022 12:27,5/10/2022 12:45,Los Angeles,San Francisco,7.90386121,completed,35.73,35.73,cash,5/10/2022 13:08,3.4
49,2888,887,10/13/2024 7:02,10/13/2024 7:17,10/13/2024 7:54,Vancouver,San Francisco,0.80157083,completed,12.68,12.68,Credit Card,10/13/2024 8:23,4.8
50,8161,100,6/24/2021 15:38,6/24/2021 15:46,6/24/2021 16:03,Chicago,New York,9.973032423,completed,39.8,39.8,cash,6/24/2021 16:16,4.4
51,6733,1632,6/15/2022 9:41,6/15/2022 9:56,6/15/2022 10:48,Chicago,Boston,14.57119067,completed,61.44,61.44,cash,6/15/2022 11:28,4.1
52,7583,928,7/25/2021 3:26,7/25/2021 3:36,7/25/2021 4:08,Montreal,Los Angeles,18.20622118,completed,68.5,68.5,cash,7/25/2021 4:20,4.7
54,5851,1670,8/25/2021 21:38,8/25/2021 21:52,8/25/2021 22:25,Calgary,Toronto,5.405942809,completed,21.15,21.15,paypal,8/25/2021 23:05,4.8
55,6021,667,10/6/2023 7:21,10/6/2023 7:30,10/6/2023 8:17,New York,New York,14.55254949,completed,58.77,58.77,voucher,10/6/2023 8:32,4.4
56,2491,991,8/23/2024 6:28,8/23/2024 6:39,8/23/2024 6:55,Chicago,Toronto,7.319770838,completed,28.95,28.95,Credit Card,8/23/2024 7:14,4.6
57,5240,949,10/27/2023 6:19,10/27/2023 6:33,10/27/2023 6:50,Toronto,Montreal,12.27211155,cancelled,57.08,0,paypal,10/27/2023 7:07,4.5
58,4934,465,6/11/2023 3:45,6/11/2023 3:57,6/11/2023 4:52,Toronto,Boston,1.043906198,cancelled,10.95,0,cash,6/11/2023 5:19,4.4
59,8669,1651,9/2/2023 20:37,9/2/2023 20:49,9/2/2023 20:59,Vancouver,Chicago,14.68303777,completed,60.05,60.05,Credit Card,9/2/2023 21:45,4.8
60,3252,250,11/4/2021 18:17,11/4/2021 18:24,11/4/2021 19:08,Los Angeles,Los Angeles,6.077025364,completed,22.87,22.87,paypal,11/4/2021 19:27,4.7
61,8489,1589,8/31/2022 0:47,8/31/2022 0:50,8/31/2022 1:41,New York,Ottawa,5.064187804,completed,26.59,26.59,voucher,8/31/2022 2:18,4.1
62,9431,1488,9/8/2023 11:38,9/8/2023 11:52,9/8/2023 12:28,Boston,Los Angeles,9.159034138,completed,46.22,46.22,Credit Card,9/8/2023 13:10,3.6
63,6120,1980,8/14/2023 22:39,8/14/2023 22:45,8/14/2023 23:42,Boston,Boston,17.60970336,completed,80.72,80.72,voucher,8/15/2023 0:27,4.7
64,2471,1311,12/13/2023 21:18,12/13/2023 21:31,12/13/2023 22:28,Vancouver,Boston,10.43284825,cancelled,38.11,0,voucher,12/13/2023 23:00,4.5
65,3115,1831,3/23/2023 5:29,3/23/2023 5:39,3/23/2023 6:22,Chicago,New York,7.207923745,completed,26.94,26.94,paypal,3/23/2023 7:00,4.9
66,7761,1416,12/14/2023 7:16,12/14/2023 7:30,12/14/2023 8:25,Boston,Los Angeles,3.156573502,completed,19.42,19.42,paypal,12/14/2023 8:45,5
67,3714,867,10/26/2022 1:03,10/26/2022 1:05,10/26/2022 1:42,Los Angeles,New York,11.04179353,completed,51.59,51.59,voucher,10/26/2022 2:23,4.6
69,9948,1020,5/8/2024 23:29,5/8/2024 23:31,5/9/2024 0:24,Calgary,Chicago,5.306523171,completed,30.11,30.11,paypal,5/9/2024 1:17,4.7
71,1635,726,9/29/2023 16:06,9/29/2023 16:20,9/29/2023 17:17,Calgary,Boston,13.37194129,completed,51.01,51.01,voucher,9/29/2023 18:00,4.4
72,9147,1389,5/21/2023 6:32,5/21/2023 6:43,5/21/2023 6:59,Toronto,Vancouver,0.764288466,completed,4.79,4.79,voucher,5/21/2023 7:43,4.5
73,7123,1891,1/4/2024 23:42,1/4/2024 23:55,1/5/2024 0:16,Calgary,San Francisco,3.038512682,cancelled,15.17,0,paypal,1/5/2024 0:24,4.8
74,7840,411,5/19/2022 19:13,5/19/2022 19:21,5/19/2022 20:14,San Francisco,Chicago,4.977195621,completed,25.22,25.22,paypal,5/19/2022 20:28,4.9
75,3551,1415,8/26/2021 7:32,8/26/2021 7:35,8/26/2021 7:50,Calgary,New York,1.994606485,completed,15.13,15.13,voucher,8/26/2021 8:02,4.2
76,9953,599,1/30/2022 4:43,1/30/2022 4:46,1/30/2022 5:13,Calgary,Ottawa,8.904271316,completed,37.32,37.32,voucher,1/30/2022 5:21,4.3
77,3017,366,2/15/2024 14:54,2/15/2024 15:00,2/15/2024 15:30,New York,Montreal,1.410516112,completed,7.36,7.36,cash,2/15/2024 15:37,4.3
78,5531,433,8/1/2022 5:54,8/1/2022 6:05,8/1/2022 6:13,Montreal,Boston,4.393105248,completed,25.33,25.33,paypal,8/1/2022 7:12,4.4
79,7845,1771,5/25/2024 19:06,5/25/2024 19:10,5/25/2024 19:19,Toronto,Calgary,18.29942709,completed,81.43,81.43,cash,5/25/2024 19:28,4.5
80,6502,1401,5/16/2024 20:32,5/16/2024 20:40,5/16/2024 21:02,Toronto,Boston,4.983409348,cancelled,-18,0,paypal,5/16/2024 21:35,4
81,5166,470,8/23/2024 22:46,8/23/2024 22:55,8/23/2024 23:19,Toronto,Calgary,17.76504654,complted,77.15,0,paypal,8/23/2024 23:32,4.2
82,223,1820,10/23/2023 6:15,10/23/2023 6:17,10/23/2023 6:36,Montreal,Chicago,18.29942709,completed,72.52,72.52,paypal,10/23/2023 6:43,4
83,940,1042,5/3/2024 17:57,5/3/2024 18:02,5/3/2024 18:49,Montreal,Boston,8.49416531,completed,30.27,30.27,voucher,5/3/2024 18:57,4.3
84,7759,1346,7/22/2022 14:10,7/22/2022 14:17,7/22/2022 14:26,Los Angeles,San Francisco,11.83715063,complted,45.48,0,cash,7/22/2022 14:48,3.8
85,738,741,5/10/2022 15:34,5/10/2022 15:39,5/10/2022 16:20,Toronto,Chicago,14.90673195,cancelled,69.13,0,paypal,5/10/2022 16:44,3.6
87,5607,676,10/28/2022 6:53,10/28/2022 6:58,10/28/2022 7:04,Ottawa,Toronto,14.26671803,completed,59.55,59.55,Credit Card,10/28/2022 7:40,4.1
88,6160,1214,11/25/2021 14:02,11/25/2021 14:12,11/25/2021 14:37,Vancouver,Calgary,13.56456684,completed,59.18,59.18,paypal,11/25/2021 14:54,4.9
89,3029,124,1/12/2023 5:49,1/12/2023 6:02,1/12/2023 6:07,Chicago,New York,12.63250774,completed,54.3,54.3,voucher,1/12/2023 6:21,3.8
90,7121,2000,9/3/2021 21:41,9/3/2021 21:52,9/3/2021 21:57,Toronto,Ottawa,14.52769458,completed,53.63,53.63,cash,9/3/2021 22:45,4.1
91,8129,197,7/31/2021 4:46,7/31/2021 4:58,7/31/2021 5:45,Toronto,Chicago,0.782929648,completed,12.04,12.04,Credit Card,7/31/2021 6:23,4.1
92,3307,1171,1/14/2022 11:57,1/14/2022 12:10,1/14/2022 13:00,Montreal,Ottawa,4.741073981,completed,17.41,17.41,paypal,1/14/2022 13:45,4.9
93,8716,1161,10/3/2023 11:50,10/3/2023 11:58,10/3/2023 12:28,New York,Ottawa,6.41878037,cancelled,31.76,0,voucher,10/3/2023 13:17,3.3
95,9863,1578,10/15/2021 23:15,10/15/2021 23:18,10/15/2021 23:51,Montreal,New York,9.289522413,completed,34.15,34.15,voucher,10/16/2021 0:45,5
96,5557,1425,6/15/2023 23:45,6/15/2023 23:54,6/16/2023 0:33,Ottawa,Vancouver,5.82847627,completed,32.24,32.24,cash,6/16/2023 0:46,4
97,6888,722,1/4/2022 12:37,1/4/2022 12:51,1/4/2022 13:36,Boston,Ottawa,18.51690755,completed,80.92,80.92,voucher,1/4/2022 14:33,3.6
98,5059,416,6/29/2021 2:15,6/29/2021 2:25,6/29/2021 2:35,Montreal,Los Angeles,7.319770838,completed,35.76,35.76,cash,6/29/2021 3:00,4.1
99,506,1954,3/8/2023 3:10,3/8/2023 3:21,3/8/2023 4:12,Ottawa,Los Angeles,17.16852871,cancelled,72.73,0,voucher,3/8/2023 4:24,4.2
101,386,1587,6/27/2022 7:35,6/27/2022 7:43,6/27/2022 8:39,Montreal,San Francisco,10.78703071,completed,48.25,48.25,voucher,6/27/2022 9:04,4.6
102,9225,1311,12/10/2022 12:26,12/10/2022 12:39,12/10/2022 13:02,Vancouver,New York,4.952340711,completed,28.7,28.7,paypal,12/10/2022 13:45,4.5
103,20,288,10/16/2022 18:58,10/16/2022 19:07,10/16/2022 19:41,Montreal,San Francisco,2.45442231,completed,8.19,8.19,Credit Card,10/16/2022 20:39,4.8
104,7132,1017,9/15/2022 19:08,9/15/2022 19:13,9/15/2022 19:54,Vancouver,Ottawa,1.323523929,completed,2.95,2.95,voucher,9/15/2022 19:55,4.2
107,4003,723,5/4/2022 22:09,5/4/2022 22:21,5/4/2022 22:40,Vancouver,Boston,9.929536332,completed,39.19,39.19,Credit Card,5/4/2022 22:47,3.8
108,6327,1997,2/28/2022 3:47,2/28/2022 3:57,2/28/2022 4:29,Ottawa,Chicago,6.98422956,cancelled,37.3,0,Credit Card,2/28/2022 4:43,4.5
109,7232,162,6/20/2021 17:44,6/20/2021 17:59,6/20/2021 18:44,Ottawa,Los Angeles,16.70249916,completed,73.91,73.91,voucher,6/20/2021 19:42,4.9
110,6229,457,5/14/2022 19:20,5/14/2022 19:24,5/14/2022 19:32,Los Angeles,Ottawa,9.20253023,completed,35.1,35.1,voucher,5/14/2022 19:32,4.4
111,131,368,7/26/2022 16:17,7/26/2022 16:23,7/26/2022 16:35,Chicago,Calgary,11.27170144,completed,45.32,45.32,paypal,7/26/2022 17:29,4.5
112,6776,1382,11/17/2021 14:02,11/17/2021 14:09,11/17/2021 14:33,Boston,Toronto,16.03141661,completed,60.57,60.57,voucher,11/17/2021 14:34,4.3
113,4752,1877,3/26/2023 19:31,3/26/2023 19:41,3/26/2023 20:40,Calgary,Ottawa,1.86411821,cancelled,10.1,0,voucher,3/26/2023 20:50,4.2
114,6447,715,12/4/2024 5:08,12/4/2024 5:13,12/4/2024 5:44,Montreal,Boston,7.997067121,cancelled,39.71,0,paypal,12/4/2024 6:20,4.5
115,5414,1544,2/11/2022 13:49,2/11/2022 14:03,2/11/2022 14:26,Boston,San Francisco,6.605192191,completed,33.14,33.14,paypal,2/11/2022 14:59,4.3
116,1196,1622,10/24/2024 22:56,10/24/2024 23:01,10/24/2024 23:45,Toronto,Montreal,12.41502728,completed,58.09,58.09,voucher,10/25/2024 0:36,3.8
117,9888,1207,1/15/2022 22:54,1/15/2022 23:07,1/15/2022 23:50,Boston,San Francisco,10.33342861,completed,42.95,42.95,voucher,1/16/2022 0:45,4.1
118,7388,584,12/18/2021 17:21,12/18/2021 17:31,12/18/2021 17:53,Montreal,San Francisco,1.29866902,completed,11.71,11.71,cash,12/18/2021 18:44,5
119,9198,351,8/15/2021 23:09,8/15/2021 23:13,8/15/2021 23:21,Ottawa,Los Angeles,0.621372737,completed,5.34,5.34,paypal,8/15/2021 23:23,4.7
120,2103,1240,1/29/2024 1:31,1/29/2024 1:39,1/29/2024 2:30,Boston,Ottawa,1.603141661,cancelled,4.84,0,voucher,1/29/2024 3:08,5
121,8736,1316,4/11/2024 23:42,4/11/2024 23:57,4/12/2024 0:35,Ottawa,San Francisco,6.101880274,completed,23.01,23.01,voucher,4/12/2024 0:43,3.8
123,2840,236,8/29/2024 14:49,8/29/2024 14:57,8/29/2024 15:50,New York,Vancouver,4.660295525,completed,24.88,24.88,voucher,8/29/2024 16:47,4.8
124,8497,713,10/27/2021 8:59,10/27/2021 9:04,10/27/2021 9:49,Montreal,Los Angeles,15.90714206,completed,63.54,63.54,cash,10/27/2021 10:11,4.2
125,9595,271,8/27/2024 15:11,8/27/2024 15:24,8/27/2024 15:37,New York,Boston,6.480917643,completed,33.33,33.33,Credit Card,8/27/2024 16:15,5
126,4945,570,5/31/2023 7:32,5/31/2023 7:39,5/31/2023 8:38,San Francisco,Montreal,3.896007059,completed,24.2,24.2,Credit Card,5/31/2023 9:21,4.3
127,2432,1482,8/8/2023 1:26,8/8/2023 1:30,8/8/2023 2:11,New York,New York,15.15528105,complted,67.29,0,voucher,8/8/2023 2:37,4.3
128,5829,219,7/31/2021 19:53,7/31/2021 20:06,7/31/2021 20:18,Boston,Vancouver,7.705021934,completed,35.92,35.92,Credit Card,7/31/2021 21:10,4.3
129,6447,1771,7/8/2022 9:33,7/8/2022 9:42,7/8/2022 10:32,Ottawa,Montreal,2.038102576,completed,13.84,13.84,voucher,7/8/2022 11:08,4.5
130,9542,691,9/3/2023 13:42,9/3/2023 13:53,9/3/2023 14:51,Vancouver,New York,3.635030509,completed,18.38,18.38,Credit Card,9/3/2023 15:17,4.3
131,7050,1989,6/6/2024 7:59,6/6/2024 8:01,6/6/2024 8:42,Ottawa,Boston,17.777474,completed,70.5,70.5,paypal,6/6/2024 9:17,4.2
132,4278,1446,7/15/2022 0:16,7/15/2022 0:25,7/15/2022 0:49,Boston,San Francisco,11.46432699,completed,51.84,51.84,voucher,7/15/2022 1:18,4.2
133,6498,795,12/10/2021 18:11,12/10/2021 18:13,12/10/2021 18:22,Boston,Calgary,14.29778667,completed,60.23,60.23,voucher,12/10/2021 19:03,4
134,788,1813,11/14/2021 23:54,11/14/2021 23:59,11/15/2021 0:15,Boston,Montreal,9.79283433,completed,48.39,48.39,cash,11/15/2021 0:54,5
135,2224,69,8/25/2024 19:38,8/25/2024 19:42,8/25/2024 19:59,San Francisco,Vancouver,15.53431842,completed,68.21,68.21,cash,8/25/2024 20:58,4.7
136,4344,833,11/19/2021 23:31,11/19/2021 23:42,11/19/2021 23:53,New York,San Francisco,8.94155368,cancelled,41.39,0,cash,11/20/2021 0:22,4
137,7386,1463,6/20/2023 3:17,6/20/2023 3:24,6/20/2023 4:01,Montreal,Calgary,13.75719239,cancelled,54.46,0,Credit Card,6/20/2023 4:53,4.4
138,536,1131,5/14/2024 12:07,5/14/2024 12:22,5/14/2024 13:08,Los Angeles,Chicago,15.1677085,completed,61.21,61.21,cash,5/14/2024 13:19,4.7
139,4598,782,3/16/2024 3:41,3/16/2024 3:51,3/16/2024 3:59,Chicago,Toronto,6.667329464,cancelled,34.67,0,voucher,3/16/2024 4:02,3.8
140,7984,898,10/13/2024 10:20,10/13/2024 10:25,10/13/2024 10:34,Vancouver,San Francisco,13.25388047,completed,56.76,56.76,PayPal,10/13/2024 11:02,4.6
141,616,619,11/19/2021 20:48,11/19/2021 21:02,11/19/2021 21:27,New York,Chicago,17.69048181,completed,71.88,71.88,cash,11/19/2021 22:20,4.7
143,6917,801,6/10/2022 14:14,6/10/2022 14:17,6/10/2022 14:50,Los Angeles,Chicago,7.54967875,completed,37.96,37.96,voucher,6/10/2022 14:53,5
144,2187,1066,8/27/2021 4:06,8/27/2021 4:16,8/27/2021 5:11,Boston,New York,0.82642574,completed,12.88,12.88,voucher,8/27/2021 5:49,3.9
145,2203,677,9/16/2022 8:31,9/16/2022 8:41,9/16/2022 8:52,Boston,Boston,8.506592765,completed,39.8,39.8,voucher,9/16/2022 9:39,3.9
146,3764,45,12/7/2021 22:02,12/7/2021 22:06,12/7/2021 22:27,Montreal,Vancouver,15.3479066,completed,71.26,71.26,cash,12/7/2021 23:17,3.8
147,2013,1373,10/31/2024 12:07,10/31/2024 12:14,10/31/2024 13:09,Vancouver,Los Angeles,1.553431842,completed,12.03,12.03,voucher,10/31/2024 13:22,3.8
148,176,897,8/22/2024 14:22,8/22/2024 14:29,8/22/2024 14:43,Vancouver,Ottawa,16.16811861,completed,72.05,72.05,paypal,8/22/2024 14:43,4.4
149,5165,511,10/27/2024 23:54,10/28/2024 0:06,10/28/2024 0:14,Chicago,San Francisco,10.58197771,completed,39.55,39.55,cash,10/28/2024 0:29,4.6
151,4233,1672,1/28/2023 12:23,1/28/2023 12:26,1/28/2023 12:46,New York,Boston,5.847117452,cancelled,28.62,0,paypal,1/28/2023 13:17,4.3
152,2160,96,7/17/2021 8:59,7/17/2021 9:08,7/17/2021 9:31,Vancouver,Toronto,14.97508295,completed,64.62,64.62,paypal,7/17/2021 10:14,3.8
153,9528,1658,2/26/2024 17:21,2/26/2024 17:34,2/26/2024 18:28,New York,Toronto,10.92373271,cancelled,52.54,0,cash,2/26/2024 18:42,5
154,2672,1962,9/11/2021 20:14,9/11/2021 20:25,9/11/2021 21:21,Chicago,San Francisco,0.838853194,completed,-0.85,-0.85,Credit Card,9/11/2021 22:19,4.6
155,6117,120,11/14/2022 12:01,11/14/2022 12:15,11/14/2022 13:06,Montreal,San Francisco,10.5136267,completed,41.9,41.9,voucher,11/14/2022 13:56,4.9
156,8954,948,2/8/2024 11:13,2/8/2024 11:26,2/8/2024 11:37,Vancouver,Vancouver,6.98422956,completed,28.11,28.11,paypal,2/8/2024 12:26,4.2
157,4268,848,6/14/2021 11:09,6/14/2021 11:19,6/14/2021 12:14,Ottawa,Chicago,13.82554339,completed,51.65,51.65,paypal,6/14/2021 12:37,5
158,820,792,7/13/2022 20:51,7/13/2022 21:02,7/13/2022 21:41,Boston,Calgary,14.74517504,completed,60.82,60.82,voucher,7/13/2022 22:32,4.6
159,7221,316,5/10/2024 1:52,5/10/2024 2:03,5/10/2024 2:38,Chicago,Los Angeles,12.97426274,completed,48.05,48.05,voucher,5/10/2024 3:02,4.5
160,1051,369,8/30/2021 15:23,8/30/2021 15:29,8/30/2021 16:12,New York,Ottawa,7.357053202,cancelled,34.23,0,Credit Card,8/30/2021 16:28,4.5
161,5624,790,9/5/2022 8:57,9/5/2022 9:10,9/5/2022 9:49,San Francisco,San Francisco,12.71949992,completed,49.16,49.16,voucher,9/5/2022 10:05,3.7
162,2416,1940,1/20/2022 7:56,1/20/2022 8:04,1/20/2022 8:24,Boston,Vancouver,8.158624032,completed,29.35,29.35,cash,1/20/2022 8:28,4.5
163,1251,1627,10/17/2021 10:01,10/17/2021 10:03,10/17/2021 10:16,Toronto,Toronto,5.629636994,completed,24.13,24.13,cash,10/17/2021 10:48,4.3
164,1954,1088,12/13/2022 7:21,12/13/2022 7:30,12/13/2022 7:37,Boston,Los Angeles,18.28699964,completed,76.36,76.36,paypal,12/13/2022 7:37,4.6
165,9058,852,6/8/2024 3:54,6/8/2024 4:09,6/8/2024 5:01,Ottawa,New York,3.852510967,cancelled,12.2,0,Credit Card,6/8/2024 5:08,4.2
166,1212,931,8/21/2024 6:51,8/21/2024 6:52,8/21/2024 7:52,Vancouver,San Francisco,7.891433755,completed,37.32,37.32,paypal,8/21/2024 8:14,4.2
167,3696,1226,8/23/2021 15:34,8/23/2021 15:40,8/23/2021 15:51,Ottawa,Ottawa,8.239402488,completed,34.11,34.11,voucher,8/23/2021 16:09,4.4
168,5816,365,7/19/2023 5:40,7/19/2023 5:46,7/19/2023 6:38,Toronto,Vancouver,5.381087899,completed,23.9,23.9,voucher,7/19/2023 7:11,4.8
169,2876,292,11/7/2024 8:37,11/7/2024 8:45,11/7/2024 9:14,San Francisco,Boston,5.461866355,completed,26.83,26.83,cash,11/7/2024 9:48,4.3
170,7445,373,9/12/2021 1:34,9/12/2021 1:35,9/12/2021 2:03,San Francisco,Chicago,18.07573291,completed,68.88,68.88,voucher,9/12/2021 2:04,5
171,6156,361,8/9/2022 11:15,8/9/2022 11:26,8/9/2022 11:51,San Francisco,Ottawa,1.98217903,cancelled,7.43,0,cash,8/9/2022 11:52,4.8
172,6267,1741,10/26/2021 19:36,10/26/2021 19:51,10/26/2021 20:08,New York,Calgary,2.280437944,completed,13.53,13.53,cash,10/26/2021 20:40,4.4
173,3316,2000,3/27/2022 8:08,3/27/2022 8:13,3/27/2022 8:37,Vancouver,New York,12.30939391,completed,44.75,44.75,paypal,3/27/2022 9:11,4.1
174,8497,1023,3/2/2023 1:02,3/2/2023 1:12,3/2/2023 1:54,Los Angeles,New York,18.01359564,completed,77.62,77.62,cash,3/2/2023 2:31,4.5
175,341,1648,9/16/2021 4:45,9/16/2021 4:46,9/16/2021 5:46,Los Angeles,Ottawa,13.35330011,completed,53.42,53.42,Credit Card,9/16/2021 5:50,5
176,8315,1402,6/27/2022 17:07,6/27/2022 17:09,6/27/2022 17:53,Los Angeles,Boston,5.505362447,completed,30.14,30.14,Credit Card,6/27/2022 18:51,4.8
